event,seconds
MPI_Init,0.655698
MPI_Comm_rank,0.000009
MPI_Comm_size,0.000001
MPI_Isend,0.001966
MPI_Isend,0.001949
MPI_Isend,0.043240
MPI_Isend,0.000090
MPI_Isend,0.033821
MPI_Isend,0.003108
MPI_Isend,0.002239
MPI_Isend,0.000080
MPI_Isend,0.002036
MPI_Isend,0.002557
MPI_Isend,0.002509
MPI_Isend,0.002226
MPI_Isend,0.002886
MPI_Isend,0.002937
MPI_Isend,0.002663
MPI_Ibcast,0.475159
MPI_Wait,59.374684
MPI_Irecv,0.000127
MPI_Wait,0.020021
MPI_Irecv,0.000066
MPI_Wait,0.030973
MPI_Irecv,0.000075
MPI_Wait,0.029462
MPI_Irecv,0.000013
MPI_Wait,57.421926
MPI_Irecv,0.000029
MPI_Wait,1.248923
MPI_Irecv,0.000011
MPI_Wait,0.510315
MPI_Irecv,0.000074
MPI_Wait,0.424360
MPI_Irecv,0.000071
MPI_Wait,0.424372
MPI_Irecv,0.000067
MPI_Wait,0.424341
MPI_Irecv,0.000082
MPI_Wait,0.424341
MPI_Irecv,0.000067
MPI_Wait,0.424443
MPI_Irecv,0.000065
MPI_Wait,0.424416
MPI_Irecv,0.000011
MPI_Wait,0.932689
MPI_Irecv,0.000006
MPI_Wait,0.892920
MPI_Irecv,0.000066
MPI_Wait,0.424320
ELAPSED_TIME,924.854420
MPI_Finalize,1.008603
