Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	6.356108
1	CPI Rate	0.655278
1	Average CPU Frequency	2603748184.224210
1	Total Thread Count	40
0	Effective Physical Core Utilization	72.6% (14.514 out of 20)
1	Effective Logical Core Utilization	54.2% (21.684 out of 40)
0	Memory Bound	22.4
1	Cache Bound	12.3
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	120.000000	3.400000	0.127436	0.0
1	DRAM Single-Package, GB/sec	60.000000	3.300000	0.141596	0.0
0	Collection and Platform Info	
1	Application Command Line	./collapse.mtp "640" "480" "900" "hype5/640x480/collapse/900/40/3/output.png" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype5
1	Result Size	57906633
1	Collection start time	06:43:55 22/09/2025 UTC
1	Collection stop time	06:44:01 22/09/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2294686070
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	60000000000.000000
