Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	89.257338
1	CPI Rate	0.482108
1	Average CPU Frequency	2984821086.260355
1	Total Thread Count	1
0	Effective Physical Core Utilization	5.0% (0.991 out of 20)
1	Effective Logical Core Utilization	2.5% (0.991 out of 40)
0	Memory Bound	17.2
1	Cache Bound	8.3
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	122.000000	0.800000	0.0	0.0
1	DRAM Single-Package, GB/sec	61.000000	0.500000	0.0	0.0
0	Collection and Platform Info	
1	Application Command Line	./tasks.mtp "640" "480" "900" "hype5/640x480/tasks/900/1/3/output.png" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype5
1	Result Size	89398033
1	Collection start time	07:40:54 22/09/2025 UTC
1	Collection stop time	07:42:23 22/09/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2294686037
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	61000000000.000000
