event,seconds
MPI_Init,1.645390
MPI_Comm_rank,0.000009
MPI_Comm_size,0.000001
MPI_Isend,0.000006
MPI_Isend,0.000001
MPI_Isend,0.000001
MPI_Isend,0.000001
MPI_Isend,0.002994
MPI_Isend,0.002598
MPI_Isend,0.002783
MPI_Isend,0.000001
MPI_Isend,0.003579
MPI_Isend,0.002824
MPI_Isend,0.005535
MPI_Isend,0.003887
MPI_Isend,0.002956
MPI_Isend,0.003007
MPI_Isend,0.005689
MPI_Ibcast,0.000094
MPI_Wait,0.000032
MPI_Irecv,0.000001
MPI_Wait,0.003409
MPI_Irecv,0.000001
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.001049
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000124
ELAPSED_TIME,0.040616
MPI_Finalize,1.581353
