event,seconds
MPI_Init,1.670034
MPI_Comm_rank,0.000006
MPI_Comm_size,0.000001
MPI_Isend,0.000004
MPI_Isend,0.000001
MPI_Isend,0.000001
MPI_Isend,0.000001
MPI_Isend,0.003123
MPI_Isend,0.002961
MPI_Isend,0.004300
MPI_Isend,0.000001
MPI_Isend,0.003010
MPI_Isend,0.002992
MPI_Isend,0.005055
MPI_Isend,0.005024
MPI_Isend,0.003176
MPI_Isend,0.005204
MPI_Isend,0.003207
MPI_Ibcast,0.000020
MPI_Wait,0.005721
MPI_Irecv,0.000002
MPI_Wait,0.000006
MPI_Irecv,0.000000
MPI_Wait,0.000001
MPI_Irecv,0.000000
MPI_Wait,0.000001
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000139
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000005
MPI_Irecv,0.000000
MPI_Wait,0.000003
MPI_Irecv,0.000000
MPI_Wait,0.000002
MPI_Irecv,0.000000
MPI_Wait,0.000028
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.000000
MPI_Irecv,0.000000
MPI_Wait,0.005145
ELAPSED_TIME,0.049178
MPI_Finalize,1.599353
